都道府県の 番号,prefecture,地名表示の 番号,chimei,陸事分野の運輸支局 自動車検査登録事務所名,office,陸事分野の運輸支局 自動車検査登録事務所名.2,所在地名,旧表示,自動車登録台数 （2019年11月末現在）[5],分類番号2桁時代の事業用2ナンバー（大板）車のひらがな,_source_table,is_gotochi
1,北海道,1,札幌,北海道運輸局,札幌運輸支局,本庁舎,札幌市東区,札,1736203,か,1,False
1,北海道,2,函館,北海道運輸局,函館運輸支局,本庁舎,函館市,函,319732,か,1,False
1,北海道,3,旭川,北海道運輸局,旭川運輸支局,本庁舎,旭川市,旭,502465,か,1,False
1,北海道,4,室蘭,北海道運輸局,室蘭運輸支局,本庁舎,室蘭市,室,385872,う,1,False
1,北海道,5,苫小牧,北海道運輸局,室蘭運輸支局,本庁舎,室蘭市,,385872,,1,False
1,北海道,6,釧路,北海道運輸局,釧路運輸支局,本庁舎,釧路市,釧,276245,あ,1,False
1,北海道,7,知床,北海道運輸局,釧路運輸支局,本庁舎,釧路市,,276245,,1,False
1,北海道,8,帯広,北海道運輸局,帯広運輸支局,本庁舎,帯広市,帯,326556,う,1,False
1,北海道,9,北見,北海道運輸局,北見運輸支局,本庁舎,北見市,北,258726,う,1,False
1,北海道,10,知床,北海道運輸局,北見運輸支局,本庁舎,北見市,,258726,,1,False
2,青森県,1,青森,東北運輸局,青森運輸支局,本庁舎,青森市,青,1014187,か,1,False
2,青森県,2,弘前,東北運輸局,青森運輸支局,本庁舎,青森市,,1014187,,1,False
2,青森県,3,八戸,東北運輸局,青森運輸支局,八戸自動車検査登録事務所,八戸市,,1014187,か,1,False
3,岩手県,1,岩手,東北運輸局,岩手運輸支局,本庁舎,紫波郡矢巾町,岩,1039537,き,1,False
3,岩手県,2,盛岡,東北運輸局,岩手運輸支局,本庁舎,紫波郡矢巾町,,1039537,,1,False
3,岩手県,3,平泉,東北運輸局,岩手運輸支局,本庁舎,紫波郡矢巾町,,1039537,,1,False
4,宮城県,1,宮城,東北運輸局,宮城運輸支局,本庁舎,仙台市宮城野区,宮,1715640,か,1,False
4,宮城県,2,仙台,東北運輸局,宮城運輸支局,本庁舎,仙台市宮城野区,,1715640,,1,False
5,秋田県,1,秋田,東北運輸局,秋田運輸支局,本庁舎,秋田市,秋,814789,い,1,False
6,山形県,1,山形,東北運輸局,山形運輸支局,本庁舎,山形市,,939464,あ,1,False
6,山形県,2,庄内,東北運輸局,山形運輸支局,庄内自動車検査登録事務所,東田川郡三川町,,939464,あ,1,False
7,福島県,1,福島,東北運輸局,福島運輸支局,本庁舎,福島市,,1669315,か,1,False
7,福島県,2,会津,東北運輸局,福島運輸支局,本庁舎,福島市,,1669315,,1,False
7,福島県,3,郡山,東北運輸局,福島運輸支局,本庁舎,福島市,,1669315,,1,False
7,福島県,4,白河,東北運輸局,福島運輸支局,本庁舎,福島市,,1669315,,1,False
7,福島県,5,いわき,東北運輸局,福島運輸支局,いわき自動車検査登録事務所,いわき市,,1669315,か,1,False
